participant_id,technique,text_size,distance,ordering,technique_id,text_size_id,distance_id,ordering_id,condition_trial,trial,input_id,input,output_id,output,grid_config,start_date_time,total_time,selections_count,selections_time,selections_distance,selections_projected_distance,deselections,errors,classifications,pan_count,pan_time,pan_distance,pan_projected_distance,zoom_count,zoom_time,zoom_distance,zoom_projected_distance,absolute_head_phone_distance,signed_head_phone_distance
0,PhoneInArOut,Big,Far,PhoneOnlyFirst,2,1,2,1,1,11,1,PhoneIn,2,ArOut,"[[[5, 5, 5, 5, 4], [2, 2, 2, 2, 2], [8, 8, 8, 8, 5], [0, 0, 0, 0, 0], [11, 11, 11, 11, 11]], [[7, 7, 7, 7, 6], [13, 13, 13, 13, 13], [14, 14, 14, 14, 14], [6, 6, 6, 6, 8], [9, 9, 9, 9, 9]], [[12, 12, 12, 12, 12], [4, 4, 4, 4, 7], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [10, 10, 10, 10, 10]]]",2018-02-16 14-48-49,18.6821785,5,13.5128472,1.921874,1.778065,5,0,5,16,4.2495329,0.6294442,0.5907997,4,1.055311,0.1818216,0.1825914,0.418126,0.009208075
0,PhoneInArOut,Big,Far,PhoneOnlyFirst,2,1,2,1,2,12,1,PhoneIn,2,ArOut,"[[[11, 11, 11, 11, 11], [6, 6, 6, 6, 6], [8, 8, 8, 8, 8], [7, 7, 7, 7, 7], [5, 5, 5, 5, 5]], [[2, 2, 2, 2, 3], [1, 1, 1, 1, 14], [3, 3, 3, 3, 12], [14, 14, 14, 14, 1], [0, 0, 0, 0, 0]], [[4, 4, 4, 4, 4], [12, 12, 12, 12, 2], [13, 13, 13, 13, 13], [10, 10, 10, 10, 10], [9, 9, 9, 9, 9]]]",2018-02-16 14-49-08,23.4398283,5,10.0575652,1.3221,1.23015,5,0,5,15,7.0787591,0.7047297,0.6826562,3,0.578445,0.1115825,0.1127645,0.4530078,0.01707957
0,PhoneInArOut,Small,Near,PhoneOnlyFirst,2,2,1,1,1,13,1,PhoneIn,2,ArOut,"[[[14, 14, 14, 14, 14], [2, 2, 2, 2, 2], [4, 4, 4, 4, 7], [6, 6, 6, 6, 4], [3, 3, 3, 3, 11]], [[5, 5, 5, 5, 5], [7, 7, 7, 7, 6], [13, 13, 13, 13, 13], [10, 10, 10, 10, 10], [12, 12, 12, 12, 12]], [[1, 1, 1, 1, 1], [0, 0, 0, 0, 0], [8, 8, 8, 8, 8], [9, 9, 9, 9, 9], [11, 11, 11, 11, 3]]]",2018-02-16 14-49-34,20.8790189,5,13.3588565,2.316121,2.083873,5,0,5,19,6.3875861,1.128692,1.039145,2,0.4080273,0.08893407,0.09396629,0.5032924,0.007891254
0,PhoneInArOut,Small,Near,PhoneOnlyFirst,2,2,1,1,2,14,1,PhoneIn,2,ArOut,"[[[1, 1, 1, 1, 12], [12, 12, 12, 12, 13], [5, 5, 5, 5, 5], [0, 0, 0, 0, 0], [14, 14, 14, 14, 14]], [[13, 13, 13, 13, 1], [10, 10, 10, 10, 10], [8, 8, 8, 8, 8], [2, 2, 2, 2, 2], [7, 7, 7, 7, 7]], [[4, 4, 4, 4, 4], [9, 9, 9, 9, 9], [11, 11, 11, 11, 3], [6, 6, 6, 6, 6], [3, 3, 3, 3, 11]]]",2018-02-16 14-49-56,24.2785589,5,8.3456452,1.342461,1.205287,5,0,5,20,6.092775,1.176199,1.088623,4,0.8459928,0.2242357,0.2578803,0.6351895,0.01677511
0,PhoneInArOut,Small,Far,PhoneOnlyFirst,2,2,2,1,1,15,1,PhoneIn,2,ArOut,"[[[4, 4, 4, 4, 2], [0, 0, 0, 0, 0], [11, 11, 11, 11, 11], [10, 10, 10, 10, 10], [13, 13, 13, 13, 9]], [[1, 1, 1, 1, 1], [5, 5, 5, 5, 5], [6, 6, 6, 6, 6], [8, 8, 8, 8, 8], [14, 14, 14, 14, 14]], [[3, 3, 3, 3, 4], [9, 9, 9, 9, 13], [12, 12, 12, 12, 12], [2, 2, 2, 2, 3], [7, 7, 7, 7, 7]]]",2018-02-16 14-50-22,40.2314781,5,27.4331968,4.524707,4.218641,5,0,5,36,9.0451442,1.803772,1.650218,4,0.8367186,0.2647709,0.2533353,1.676394,0.009619849
0,PhoneInArOut,Small,Far,PhoneOnlyFirst,2,2,2,1,2,16,1,PhoneIn,2,ArOut,"[[[2, 2, 2, 2, 6], [12, 12, 12, 12, 12], [5, 5, 5, 5, 10], [0, 0, 0, 0, 0], [7, 7, 7, 7, 7]], [[10, 10, 10, 10, 2], [8, 8, 8, 8, 8], [3, 3, 3, 3, 5], [9, 9, 9, 9, 9], [11, 11, 11, 11, 11]], [[13, 13, 13, 13, 13], [14, 14, 14, 14, 14], [6, 6, 6, 6, 3], [4, 4, 4, 4, 4], [1, 1, 1, 1, 1]]]",2018-02-16 14-51-04,27.0910369,5,14.4204295,2.407792,2.104903,5,0,5,19,6.1031489,1.221337,1.119781,3,0.6621351,0.1826312,0.1619263,0.8389179,0.01761757
0,MidAirInArOut,Big,Near,PhoneOnlyFirst,3,1,1,1,1,17,2,MidAirIn,2,ArOut,"[[[8, 8, 8, 8, 10], [7, 7, 7, 7, 7], [3, 3, 3, 3, 3], [10, 10, 10, 10, 1], [0, 0, 0, 0, 0]], [[11, 11, 11, 11, 11], [13, 13, 13, 13, 13], [12, 12, 12, 12, 5], [5, 5, 5, 5, 12], [4, 4, 4, 4, 4]], [[1, 1, 1, 1, 8], [9, 9, 9, 9, 9], [14, 14, 14, 14, 14], [2, 2, 2, 2, 2], [6, 6, 6, 6, 6]]]",2018-02-16 15-52-50,72.4837387,5,57.2783034,10.37504,9.739781,5,0,5,9,9.2006614,1.861099,1.453497,6,5.4205941,1.480987,1.47704,3.136605,0.07973374
0,MidAirInArOut,Big,Near,PhoneOnlyFirst,3,1,1,1,2,18,2,MidAirIn,2,ArOut,"[[[5, 5, 5, 5, 9], [0, 0, 0, 0, 0], [2, 2, 2, 2, 7], [14, 14, 14, 14, 14], [11, 11, 11, 11, 11]], [[9, 9, 9, 9, 5], [10, 10, 10, 10, 10], [1, 1, 1, 1, 1], [13, 13, 13, 13, 13], [6, 6, 6, 6, 6]], [[8, 8, 8, 8, 8], [3, 3, 3, 3, 2], [4, 4, 4, 4, 4], [12, 12, 12, 12, 12], [7, 7, 7, 7, 3]]]",2018-02-16 14-52-36,79.0652397,5,49.5621883,7.295145,6.085143,5,0,5,12,9.8937612,2.403786,1.970098,0,0,0,0,1.591923,0.05214101
0,MidAirInArOut,Big,Far,PhoneOnlyFirst,3,1,2,1,1,19,2,MidAirIn,2,ArOut,"[[[13, 13, 13, 13, 13], [3, 3, 3, 3, 3], [14, 14, 14, 14, 14], [12, 12, 12, 12, 4], [11, 11, 11, 11, 11]], [[9, 9, 9, 9, 9], [6, 6, 6, 6, 6], [1, 1, 1, 1, 1], [10, 10, 10, 10, 10], [0, 0, 0, 0, 0]], [[5, 5, 5, 5, 5], [2, 2, 2, 2, 7], [8, 8, 8, 8, 2], [7, 7, 7, 7, 12], [4, 4, 4, 4, 8]]]",2018-02-16 14-53-56,40.4876596,5,21.4457396,3.489993,2.909611,5,0,5,7,4.5895887,0.9119288,0.6785397,0,0,0,0,0.6983953,0.001834182
0,MidAirInArOut,Big,Far,PhoneOnlyFirst,3,1,2,1,2,20,2,MidAirIn,2,ArOut,"[[[3, 3, 3, 3, 3], [7, 7, 7, 7, 7], [8, 8, 8, 8, 8], [11, 11, 11, 11, 4], [4, 4, 4, 4, 6]], [[9, 9, 9, 9, 9], [10, 10, 10, 10, 10], [5, 5, 5, 5, 2], [2, 2, 2, 2, 11], [14, 14, 14, 14, 14]], [[13, 13, 13, 13, 13], [6, 6, 6, 6, 5], [0, 0, 0, 0, 0], [12, 12, 12, 12, 12], [1, 1, 1, 1, 1]]]",2018-02-16 14-54-38,47.8206587,6,16.2055122,2.042455,1.516024,6,1,5,6,4.3098889,1.016048,0.8239412,0,0,0,0,1.050555,0.01739088
0,MidAirInArOut,Small,Near,PhoneOnlyFirst,3,2,1,1,1,21,2,MidAirIn,2,ArOut,"[[[13, 13, 13, 13, 13], [9, 9, 9, 9, 9], [14, 14, 14, 14, 14], [10, 10, 10, 10, 10], [6, 6, 6, 6, 6]], [[12, 12, 12, 12, 12], [3, 3, 3, 3, 0], [1, 1, 1, 1, 1], [8, 8, 8, 8, 8], [4, 4, 4, 4, 11]], [[0, 0, 0, 0, 3], [5, 5, 5, 5, 5], [2, 2, 2, 2, 2], [7, 7, 7, 7, 4], [11, 11, 11, 11, 7]]]",2018-02-16 14-55-28,25.3173203,5,8.0677936,1.038724,0.9143618,5,0,5,1,0.9872683,0.2897629,0.2415527,0,0,0,0,0.4448464,0.0208388
0,MidAirInArOut,Small,Near,PhoneOnlyFirst,3,2,1,1,2,22,2,MidAirIn,2,ArOut,"[[[11, 11, 11, 11, 11], [1, 1, 1, 1, 2], [2, 2, 2, 2, 1], [13, 13, 13, 13, 13], [12, 12, 12, 12, 12]], [[6, 6, 6, 6, 6], [5, 5, 5, 5, 5], [0, 0, 0, 0, 0], [10, 10, 10, 10, 10], [4, 4, 4, 4, 4]], [[3, 3, 3, 3, 3], [7, 7, 7, 7, 9], [8, 8, 8, 8, 7], [9, 9, 9, 9, 8], [14, 14, 14, 14, 14]]]",2018-02-16 14-55-55,42.2353123,6,12.6634258,1.975258,1.543571,6,0,5,6,4.0378382,0.9305151,0.6917107,1,1.357498,0.0687122,0.05376261,1.293788,0.06054063
